Paystep,BA,Pre1970,BA+30,BA+60,BA+66,BA+96,MA,MA+,Salary Schedule
1A,45985,50329,47595,50571,51939,54915,53549,57893,2013
2A,48918,53262,50528,53504,54872,57848,56482,60826,2013
3A,49324,53668,50934,53910,55278,58254,56888,61232,2013
4A,50038,54382,51648,54624,55992,58968,57602,61946,2013
5A,50655,54999,52265,55241,56609,59585,58219,62563,2013
6A,51320,55664,52930,55906,57274,60250,58884,63228,2013
6A+L5,52330,56674,53940,56916,58284,61260,59894,64238,2013
6B,52261,56605,53871,56847,58215,61191,59825,64169,2013
6B+L5,53271,57615,54881,57857,59225,62201,60835,65179,2013
7A,53659,58003,55269,58245,59613,62589,61223,65567,2013
7A+L5,54669,59013,56279,59255,60623,63599,62233,66577,2013
7B,56934,61278,58544,61520,62888,65864,64498,68842,2013
7B+L5,57944,62288,59554,62530,63898,66874,65508,69852,2013
8A,59998,64342,61608,64584,65952,68928,67562,71906,2013
8A+L5,61008,65352,62618,65594,66962,69938,68572,72916,2013
8B,63636,67980,65246,68222,69590,72566,71200,75544,2013
8B+L5,64646,68990,66256,69232,70600,73576,72210,76554,2013
8B+L10,67766,72110,69376,72352,73720,76696,75330,79674,2013
8B+L13,69889,74233,71499,74475,75843,78819,77453,81797,2013
8B+L15,74372,78716,75982,78958,80326,83302,81936,86280,2013
8B+L18,75548,79892,77158,80134,81502,84478,83112,87456,2013
8B+L20,84246,88590,85856,88832,90200,93176,91810,96154,2013
8B+L22,89142,93486,90752,93728,95096,98072,96706,101050,2013
1A,46445,50832,48071,51077,52459,55464,54085,58472,2014 May
2A,49407,53794,51033,54039,55421,58426,57047,61434,2014 May
3A,49817,54204,51443,54449,55831,58836,57457,61844,2014 May
4A,50538,54925,52164,55170,56552,59557,58178,62565,2014 May
5A,51162,55549,52788,55794,57176,60181,58802,63189,2014 May
6A,51833,56220,53459,56465,57847,60852,59473,63860,2014 May
6A+L5,52853,57240,54479,57485,58867,61872,60493,64880,2014 May
6B,52784,57171,54410,57416,58798,61803,60424,64811,2014 May
6B+L5,53804,58191,55430,58436,59818,62823,61444,65831,2014 May
7A,54196,58583,55822,58828,60210,63215,61836,66223,2014 May
7A+L5,55216,59603,56842,59848,61230,64235,62856,67243,2014 May
7B,57503,61890,59129,62135,63517,66522,65143,69530,2014 May
7B+L5,58523,62910,60149,63155,64537,67542,66163,70550,2014 May
8A,60598,64985,62224,65230,66612,69617,68238,72625,2014 May
8A+L5,61618,66005,63244,66250,67632,70637,69258,73645,2014 May
8B,64272,68659,65898,68904,70286,73291,71912,76299,2014 May
8B+L5,65292,69679,66918,69924,71306,74311,72932,77319,2014 May
8B+L10,68443,72830,70069,73075,74457,77462,76083,80470,2014 May
